Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2024,26.0,35.0,29.9,83.0,3.8,6.5,3,60,1,C 
02-01-2024,26.2,35.2,30.6,78.0,21.2,6.7,4,160,2,C 
03-01-2024,27.0,35.8,27.8,90.0,0.0,8.9,4,60,1,C 
04-01-2024,25.8,34.4,29.0,82.0,1.5,1.9,4,70,2,W 
05-01-2024,25.5,33.4,28.8,83.0,2.2,6.0,5,110,2,W 
06-01-2024,25.4,31.3,28.0,87.0,0.0,3.8,3,90,1,C 
07-01-2024,26.0,31.8,27.7,88.0,2.1,2.0,4,340,1,C 
08-01-2024,25.5,31.8,27.0,91.0,8888.0,0.0,5,240,2,SW
09-01-2024,24.8,34.0,27.7,89.0,78.1,0.6,6,200,2,SW
10-01-2024,25.0,33.6,28.7,86.0,26.5,4.5,5,230,2,NW
11-01-2024,25.1,34.6,28.5,83.0,3.3,5.0,5,190,1,C 
12-01-2024,25.0,35.0,30.1,71.0,5.1,7.5,5,250,2,S 
13-01-2024,25.2,34.6,30.6,70.0,0.0,8.5,6,140,3,E 
14-01-2024,27.2,34.0,30.3,71.0,0.0,9.8,6,140,2,C 
15-01-2024,27.0,33.0,27.7,85.0,,4.3,6,150,2,C 
16-01-2024,24.6,32.6,28.9,81.0,18.3,0.0,4,70,2,C 
17-01-2024,26.4,31.8,26.4,91.0,17.2,4.0,8,130,2,C 
18-01-2024,24.0,33.8,27.2,88.0,23.6,0.0,3,230,2,SW
19-01-2024,25.0,32.0,26.6,88.0,0.0,3.1,8,240,2,W 
20-01-2024,23.6,34.2,29.3,75.0,36.3,1.6,6,240,2,C 
21-01-2024,25.8,34.2,29.4,74.0,8888.0,4.5,6,240,2,W 
22-01-2024,25.6,34.1,28.6,78.0,0.0,8.8,6,280,3,W 
23-01-2024,26.0,32.8,29.2,77.0,1.5,8.4,7,220,2,W 
24-01-2024,25.8,33.4,27.8,82.0,,0.5,7,280,3,W 
25-01-2024,24.6,34.0,28.0,81.0,5.5,4.5,6,240,3,SW
26-01-2024,,33.5,28.3,81.0,4.3,7.6,6,300,3,W 
27-01-2024,25.9,34.0,28.9,78.0,0.0,6.5,7,300,3,W 
28-01-2024,26.0,,28.5,81.0,0.0,6.1,5,310,2,C 
29-01-2024,25.4,32.3,27.0,90.0,1.0,6.5,4,310,1,C 
30-01-2024,23.0,32.2,27.1,90.0,73.0,1.3,10,200,2,C 
31-01-2024,24.6,33.4,26.9,87.0,34.0,5.2,6,260,2,W 
01-02-2024,24.6,33.0,27.2,88.0,27.2,4.5,6,140,2,SW
02-02-2024,24.8,32.6,28.3,82.0,24.0,6.4,5,180,2,W 
03-02-2024,25.4,31.8,27.9,83.0,0.0,7.3,6,200,3,W 
04-02-2024,25.0,33.4,27.4,84.0,5.0,3.0,7,320,3,SW
05-02-2024,24.6,32.8,27.4,82.0,16.6,4.5,6,290,3,W 
06-02-2024,23.2,34.0,27.1,86.0,60.3,5.0,7,120,2,W 
07-02-2024,24.6,30.5,27.7,84.0,33.8,6.0,4,290,2,W 
08-02-2024,25.4,33.8,28.0,82.0,0.0,0.0,4,30,2,SW
09-02-2024,25.0,34.6,28.7,81.0,0.3,7.0,6,160,2,NE
10-02-2024,25.4,30.6,27.1,88.0,7.8,7.9,6,300,2,SW
