Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,temperature
2024-01-01,26.0,35.0,29.9,83.0,3.8,6.5,3.0,60.0,1.0,C ,
2024-01-02,26.2,35.2,30.6,78.0,21.2,6.7,4.0,160.0,2.0,C ,
2024-01-03,27.0,35.8,27.8,90.0,0.0,8.9,4.0,60.0,1.0,C ,
2024-01-04,25.8,34.4,29.0,82.0,1.5,1.9,4.0,70.0,2.0,W ,
2024-01-05,25.5,33.4,28.8,83.0,2.2,6.0,5.0,110.0,2.0,W ,
2024-01-06,25.4,31.3,28.0,87.0,0.0,3.8,3.0,90.0,1.0,C ,
2024-01-07,26.0,31.8,27.7,88.0,2.1,2.0,4.0,340.0,1.0,C ,
2024-01-08,25.5,31.8,27.0,91.0,8888.0,0.0,5.0,240.0,2.0,SW,
2024-01-09,24.8,34.0,27.7,89.0,78.1,0.6,6.0,200.0,2.0,SW,
2024-01-10,25.0,33.6,28.7,86.0,26.5,4.5,5.0,230.0,2.0,NW,
2024-01-11,25.1,34.6,28.5,83.0,3.3,5.0,5.0,190.0,1.0,C ,
2024-01-12,25.0,35.0,30.1,71.0,5.1,7.5,5.0,250.0,2.0,S ,
2024-01-13,25.2,34.6,30.6,70.0,0.0,8.5,6.0,140.0,3.0,E ,
2024-01-14,27.2,34.0,30.3,71.0,0.0,9.8,6.0,140.0,2.0,C ,
2024-01-15,27.0,33.0,27.7,85.0,,4.3,6.0,150.0,2.0,C ,
2024-01-16,24.6,32.6,28.9,81.0,18.3,0.0,4.0,70.0,2.0,C ,
2024-01-17,26.4,31.8,26.4,91.0,17.2,4.0,8.0,130.0,2.0,C ,
2024-01-18,24.0,33.8,27.2,88.0,23.6,0.0,3.0,230.0,2.0,SW,
2024-01-19,25.0,32.0,26.6,88.0,0.0,3.1,8.0,240.0,2.0,W ,
2024-01-20,23.6,34.2,29.3,75.0,36.3,1.6,6.0,240.0,2.0,C ,
2024-01-21,25.8,34.2,29.4,74.0,8888.0,4.5,6.0,240.0,2.0,W ,
2024-01-22,25.6,34.1,28.6,78.0,0.0,8.8,6.0,280.0,3.0,W ,
2024-01-23,26.0,32.8,29.2,77.0,1.5,8.4,7.0,220.0,2.0,W ,
2024-01-24,25.8,33.4,27.8,82.0,,0.5,7.0,280.0,3.0,W ,
2024-01-25,24.6,34.0,28.0,81.0,5.5,4.5,6.0,240.0,3.0,SW,
2024-01-26,,33.5,28.3,81.0,4.3,7.6,6.0,300.0,3.0,W ,
2024-01-27,25.9,34.0,28.9,78.0,0.0,6.5,7.0,300.0,3.0,W ,
2024-01-28,26.0,,28.5,81.0,0.0,6.1,5.0,310.0,2.0,C ,
2024-01-29,25.4,32.3,27.0,90.0,1.0,6.5,4.0,310.0,1.0,C ,
2024-01-30,23.0,32.2,27.1,90.0,73.0,1.3,10.0,200.0,2.0,C ,
2024-01-31,24.6,33.4,26.9,87.0,34.0,5.2,6.0,260.0,2.0,W ,
2024-02-01,24.6,33.0,27.2,88.0,27.2,4.5,6.0,140.0,2.0,SW,
2024-02-02,24.8,32.6,28.3,82.0,24.0,6.4,5.0,180.0,2.0,W ,
2024-02-03,25.4,31.8,27.9,83.0,0.0,7.3,6.0,200.0,3.0,W ,
2024-02-04,25.0,33.4,27.4,84.0,5.0,3.0,7.0,320.0,3.0,SW,
2024-02-05,24.6,32.8,27.4,82.0,16.6,4.5,6.0,290.0,3.0,W ,
2024-02-06,23.2,34.0,27.1,86.0,60.3,5.0,7.0,120.0,2.0,W ,
2024-02-07,24.6,30.5,27.7,84.0,33.8,6.0,4.0,290.0,2.0,W ,
2024-02-08,25.4,33.8,28.0,82.0,0.0,0.0,4.0,30.0,2.0,SW,
2024-02-09,25.0,34.6,28.7,81.0,0.3,7.0,6.0,160.0,2.0,NE,
2024-02-10,25.4,30.6,27.1,88.0,7.8,7.9,6.0,300.0,2.0,SW,
2024-02-11,25.3,32.6,26.2,90.0,0.2,0.3,4.0,330.0,2.0,C ,
2024-02-12,24.0,34.4,27.9,85.0,84.5,3.0,6.0,120.0,2.0,SW,
2024-02-13,25.0,33.0,29.5,79.0,19.2,7.3,4.0,100.0,2.0,E ,
2024-02-14,26.4,33.6,29.0,86.0,0.8,7.3,4.0,70.0,1.0,C ,
2024-02-15,24.5,34.8,29.3,82.0,0.5,0.2,5.0,200.0,2.0,SW,
2024-02-16,26.4,34.4,29.2,81.0,0.1,5.9,6.0,330.0,2.0,C ,
2024-02-17,25.6,34.2,28.0,85.0,8888.0,8.0,7.0,320.0,2.0,SW,
2024-02-18,25.0,33.8,28.1,83.0,40.0,7.0,4.0,40.0,2.0,W ,
2024-02-19,25.2,34.8,29.4,82.0,,4.0,4.0,190.0,2.0,NW,
2024-02-20,26.6,33.4,29.4,80.0,17.9,8.5,5.0,150.0,2.0,SW,
2024-02-21,26.2,33.6,28.4,87.0,8888.0,4.8,11.0,170.0,2.0,C ,
2024-02-22,25.6,35.0,29.0,82.0,26.0,5.2,5.0,280.0,2.0,W ,
2024-02-23,26.2,33.2,29.2,83.0,12.5,8.7,7.0,280.0,2.0,W ,
2024-02-24,23.4,33.4,28.6,82.0,,4.0,5.0,260.0,2.0,W ,
2024-02-25,25.2,32.0,27.8,82.0,8888.0,2.0,5.0,300.0,3.0,W ,
2024-02-26,25.2,34.1,27.4,85.0,0.4,3.3,5.0,240.0,2.0,SW,
